snr,nmse_ls,nmse_lmmse,ber_ls,ber_lmmse
-5,10.85798180997105,0.039762124261070585,0.59795,0.59805
-2,7.84564840968533,-0.09161652192869049,0.52715,0.5273
1,4.8431889055173185,-0.5382498060461267,0.44095,0.44105
4,1.8194355554561594,-1.5273120290219793,0.33785,0.338
7,-1.1307980840121334,-3.061400703452704,0.24435,0.2444
10,-4.12245774789839,-5.175480733265976,0.17265,0.1725
13,-7.139566450459657,-7.68886308518155,0.12725,0.1272
16,-10.149161098958935,-10.428802792355787,0.1038,0.10375
19,-13.139498226757686,-13.281557105622841,0.08875,0.08895
22,-16.112009501997292,-16.185038296657332,0.08155,0.08155
25,-19.154358591316377,-19.19076640165631,0.07575,0.07575
