snr_db,ber,nmse
0.0,1.350606e-01,4.858584e-02
1.0,1.137929e-01,4.731000e-02
2.0,9.640404e-02,4.601676e-02
3.0,8.095960e-02,4.482076e-02
4.0,6.657576e-02,4.371949e-02
5.0,5.561616e-02,4.271084e-02
6.0,4.677778e-02,4.173884e-02
7.0,3.869192e-02,4.091115e-02
8.0,3.202020e-02,4.031347e-02
9.0,2.657071e-02,3.972383e-02
10.0,2.211111e-02,3.936810e-02
11.0,1.896465e-02,3.894217e-02
12.0,1.594949e-02,3.868812e-02
13.0,1.324242e-02,3.843042e-02
14.0,1.143434e-02,3.828040e-02
15.0,1.011616e-02,3.820794e-02
16.0,8.757576e-03,3.808164e-02
17.0,7.792929e-03,3.802614e-02
18.0,6.878788e-03,3.797272e-02
