snr_db,Base (128-12),L1 Loss (0.5),L1 Loss (0.7),crum Loss,Scope Loss
0,1.525000e-01,1.548700e-01,1.512700e-01,1.495350e-01,1.472800e-01
1,1.282550e-01,1.280800e-01,1.272050e-01,1.241950e-01,1.227950e-01
2,1.029050e-01,1.045050e-01,1.028050e-01,1.010000e-01,9.983000e-02
3,8.187000e-02,8.185500e-02,8.162500e-02,8.198000e-02,8.048000e-02
4,6.355500e-02,6.408000e-02,6.376500e-02,6.422500e-02,6.332000e-02
5,4.976500e-02,4.898000e-02,4.918000e-02,5.017500e-02,4.964500e-02
6,3.740500e-02,3.736000e-02,3.742000e-02,3.920000e-02,3.742000e-02
7,2.806000e-02,2.831500e-02,2.876500e-02,2.999000e-02,2.897000e-02
8,2.125000e-02,2.234500e-02,2.204000e-02,2.294000e-02,2.226000e-02
9,1.737500e-02,1.750500e-02,1.697000e-02,1.817500e-02,1.727000e-02
10,1.385500e-02,1.416500e-02,1.421000e-02,1.471000e-02,1.422500e-02
11,1.157000e-02,1.189000e-02,1.214000e-02,1.207000e-02,1.206000e-02
12,1.000500e-02,1.018000e-02,1.014500e-02,1.079000e-02,9.895000e-03
13,9.145000e-03,9.280000e-03,9.210000e-03,9.380000e-03,8.605000e-03
14,8.105000e-03,8.380000e-03,8.325000e-03,8.435000e-03,7.740000e-03
15,7.730000e-03,7.840000e-03,7.905000e-03,7.630000e-03,7.510000e-03
16,7.310000e-03,7.360000e-03,7.585000e-03,7.105000e-03,6.915000e-03
17,6.980000e-03,7.210000e-03,7.080000e-03,6.880000e-03,6.585000e-03
18,6.710000e-03,6.915000e-03,6.735000e-03,6.610000e-03,6.220000e-03
